"customer","sale_date","seller"
Jared Gray,1992-09-22,Dirk Stringer
Willie Gao,1992-09-22,Michael O'Leary
Krista Gill,1992-09-22,Marjorie Green
Olivia Bennett,1992-09-21,Michael O'Leary
Willie Gao,1992-09-22,Michael O'Leary
Mario Rai,1992-09-21,Abraham Bennet
Olivia Bennett,1992-09-21,Michael O'Leary
Krista Gill,1992-09-22,Marjorie Green
Mario Rai,1992-09-21,Abraham Bennet
Mario Rai,1992-09-21,Abraham Bennet
Karen Huang,1992-09-21,Dirk Stringer
Richard Martinez,1992-09-21,Abraham Bennet
Tyrone Ruiz,1992-09-21,Marjorie Green
Mya Coleman,1992-09-24,Michael O'Leary
Richard Martinez,1992-09-21,Abraham Bennet
Samuel Sharma,1992-09-22,Michael O'Leary
Jacob Martinez,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Cristina Xu,1992-09-21,Abraham Bennet
Kaitlyn Allen,1992-09-21,Dirk Stringer
Jacob Martinez,1992-09-21,Michael O'Leary
Cristina Xu,1992-09-21,Abraham Bennet
Levi Gonzalez,1992-09-21,Marjorie Green
Cristina Xu,1992-09-21,Abraham Bennet
Cristina Xu,1992-09-21,Abraham Bennet
Kaitlyn Allen,1992-09-21,Dirk Stringer
Jacob Martinez,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Kristen Li,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Jacob Martinez,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kristen Li,1992-09-21,Michael O'Leary
Cristina Xu,1992-09-21,Abraham Bennet
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Kristen Li,1992-09-21,Michael O'Leary
Cristina Xu,1992-09-21,Abraham Bennet
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Cristina Xu,1992-09-21,Abraham Bennet
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Kaitlyn Allen,1992-09-21,Dirk Stringer
Cristina Xu,1992-09-21,Abraham Bennet
Kaitlyn Allen,1992-09-21,Dirk Stringer
Cristina Xu,1992-09-21,Abraham Bennet
Kaitlyn Allen,1992-09-21,Dirk Stringer
Cristina Xu,1992-09-21,Abraham Bennet
Jacob Martinez,1992-09-21,Michael O'Leary
Kaitlyn Allen,1992-09-21,Dirk Stringer
Levi Gonzalez,1992-09-21,Marjorie Green
Kaitlyn Allen,1992-09-21,Dirk Stringer
Jacob Martinez,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Cristina Xu,1992-09-21,Abraham Bennet
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Levi Gonzalez,1992-09-21,Marjorie Green
Kaitlyn Allen,1992-09-21,Dirk Stringer
Jacob Martinez,1992-09-21,Michael O'Leary
Kaitlyn Allen,1992-09-21,Dirk Stringer
Kaitlyn Allen,1992-09-21,Dirk Stringer
Levi Gonzalez,1992-09-21,Marjorie Green
Kristen Li,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Jacob Martinez,1992-09-21,Michael O'Leary
Levi Gonzalez,1992-09-21,Marjorie Green
Cristina Xu,1992-09-21,Abraham Bennet
Jacob Martinez,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Kristen Li,1992-09-21,Michael O'Leary
Cristina Xu,1992-09-21,Abraham Bennet
